MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
1239.040039	1239.040039	1210.4	1203.1259766	2190.5935059
1239.1899414	1239.1899414	1210.5499268	1203.2630615	2186.9077148
1239.3399658	1239.3399658	1210.7	1203.397949	2223.491211
1239.6400146	1239.6400146	1211	1203.6660156	2239.31665
1239.790039	1239.790039	1211.1500244	1203.802002	2205.9526367
1239.9399414	1239.9399414	1211.3	1203.9370117	2219.7211914
1240.3900146	1240.3900146	1211.75	1204.3540039	2158.6552734
1240.99	1240.99	1212.3499756	1204.911011	2154.5205078
1241.1400146	1241.1400146	1212.5	1205.0490723	2173.5681152
1241.290039	1241.290039	1212.6500244	1205.1870117	2175.4467773
1241.4399414	1241.4399414	1212.8	1205.3249512	2171.799561
1241.74	1241.74	1213.1	1205.599	2190.5935059
1242.040039	1242.040039	1213.4	1205.8709717	2205.9526367
1242.1899414	1242.1899414	1213.5499268	1206.0061035	2219.7211914
1242.3399658	1242.3399658	1213.7	1206.1409912	2223.491211
1242.9399414	1242.9399414	1214.3	1206.6789551	2230.4277344
1243.0899658	1243.0899658	1214.4499512	1206.8129883	2239.31665
1243.24	1243.24	1214.6	1206.947998	2221.5285645
1243.3900146	1243.3900146	1214.75	1207.0839844	2207.8876953
1243.540039	1243.540039	1214.9	1207.219971	2205.9526367
1243.6899414	1243.6899414	1215.0499268	1207.3580322	2171.799561
1243.8399658	1243.8399658	1215.2	1207.4960938	2173.5681152
1243.99	1243.99	1215.3499756	1207.63501	2158.6552734
1244.1400146	1244.1400146	1215.5	1207.7750244	2143.9455566
1244.5899658	1244.5899658	1215.9499512	1208.1920166	2158.0698242
1244.74	1244.74	1216.1	1208.3300781	2173.5681152
1244.8900146	1244.8900146	1216.25	1208.4680176	2175.4467773
1245.040039	1245.040039	1216.4	1208.605957	2173.5681152
1245.1899414	1245.1899414	1216.5499268	1208.7440186	2171.799561
1245.3399658	1245.3399658	1216.7	1208.8830566	2158.6552734
1245.49	1245.49	1216.8499756	1209.0239258	2129.4348145
1245.790039	1245.790039	1217.1500244	1209.30603	2127.6347656
1245.9399414	1245.9399414	1217.3	1209.4459229	2142.2009277
1246.0899658	1246.0899658	1217.4499512	1209.5839844	2173.5681152
1246.24	1246.24	1217.6	1209.7230225	2158.6552734
1246.3900146	1246.3900146	1217.75	1209.862915	2143.9455566
1246.540039	1246.540039	1217.9	1210.0030518	2142.12085
1246.99	1246.99	1218.3499756	1210.4229736	2142.7556152
1247.1400146	1247.1400146	1218.5	1210.5629883	2143.9455566
1247.290039	1247.290039	1218.6500244	1210.703979	2127.6347656
1247.4399414	1247.4399414	1218.8	1210.844971	2125.9035645
1247.5899658	1247.5899658	1218.9499512	1210.9880371	2097.4934082
1247.74	1247.74	1219.1	1211.1309814	2099.2426758
1248.1899414	1248.1899414	1219.5499268	1211.5609131	2092.85498
1248.3399658	1248.3399658	1219.7	1211.703979	2097.4934082
1248.790039	1248.790039	1220.1500244	1212.13	2113.3435059
1248.9399414	1248.9399414	1220.3	1212.2709961	2125.9035645
1249.3900146	1249.3900146	1220.75	1212.6940918	2127.6347656
1249.540039	1249.540039	1220.9	1212.834961	2129.4348145
1249.8399658	1249.8399658	1221.2	1213.11792	2119.6022949
1249.99	1249.99	1221.3499756	1213.256958	2158.6552734
1250.1400146	1250.1400146	1221.5	1213.39502	2173.5681152
1250.290039	1250.290039	1221.6500244	1213.528931	2239.31665
1250.4399414	1250.4399414	1221.8	1213.6619873	2253.5339355
1250.5899658	1250.5899658	1221.9499512	1213.7980957	2205.9526367
1250.74	1250.74	1222.1	1213.9350586	2190.5935059
1250.8900146	1250.8900146	1222.25	1214.0739746	2158.6552734
1251.040039	1251.040039	1222.4	1214.213989	2143.9455566
1251.1899414	1251.1899414	1222.5499268	1214.3540039	2140.37793
1251.3399658	1251.3399658	1222.7	1214.4949951	2129.4348145
1251.49	1251.49	1222.8499756	1214.6339111	2158.6552734
1251.6400146	1251.6400146	1223	1214.7719727	2173.5681152
1251.790039	1251.790039	1223.1500244	1214.9089355	2190.5935059
1251.9399414	1251.9399414	1223.3	1215.046021	2186.9077148
1252.0899658	1252.0899658	1223.4499512	1215.18396	2175.4467773
1252.24	1252.24	1223.6	1215.3220215	2173.5681152
1252.3900146	1252.3900146	1223.75	1215.4619141	2143.9455566
1252.540039	1252.540039	1223.9	1215.60498	2097.4934082
1252.6899414	1252.6899414	1224.0499268	1215.7479248	2097.534668
1252.8399658	1252.8399658	1224.2	1215.8919678	2083.602539
1252.99	1252.99	1224.3499756	1216.0350342	2097.4934082
1253.1400146	1253.1400146	1224.5	1216.1789551	2083.602539
1253.290039	1253.290039	1224.6500244	1216.3200684	2127.6347656
1253.4399414	1253.4399414	1224.8	1216.459961	2142.2009277
1253.74	1253.74	1225.1	1216.7380371	2158.6552734
1254.6400146	1254.6400146	1226	1217.572998	2155.5893555
1254.790039	1254.790039	1226.1500244	1217.7120361	2158.6552734
